Condition,Time,N,mean,sd
"Control_Crr_plus",-200,24,-0.10504075139761,0.865376532077789
"Control_Crr_plus",-196,24,-0.119573377072811,0.836056530475616
"Control_Crr_plus",-192,24,-0.135746747255325,0.800031185150146
"Control_Crr_plus",-188,24,-0.153483435511589,0.758700311183929
"Control_Crr_plus",-184,24,-0.172666653990746,0.714257299900055
"Control_Crr_plus",-180,24,-0.193073138594627,0.66961133480072
"Control_Crr_plus",-176,24,-0.214372158050537,0.628312349319458
"Control_Crr_plus",-172,24,-0.236070230603218,0.594401657581329
"Control_Crr_plus",-168,24,-0.25746938586235,0.571988105773926
"Control_Crr_plus",-164,24,-0.277716130018234,0.564379274845123
"Control_Crr_plus",-160,24,-0.295841962099075,0.572931170463562
"Control_Crr_plus",-156,24,-0.310753732919693,0.59621649980545
"Control_Crr_plus",-152,24,-0.321306675672531,0.630143880844116
"Control_Crr_plus",-148,24,-0.32641875743866,0.66903680562973
"Control_Crr_plus",-144,24,-0.325105041265488,0.706670343875885
"Control_Crr_plus",-140,24,-0.316616058349609,0.737187743186951
"Control_Crr_plus",-136,24,-0.300531893968582,0.755635321140289
"Control_Crr_plus",-132,24,-0.276823759078979,0.758286714553833
"Control_Crr_plus",-128,24,-0.245883941650391,0.74306184053421
"Control_Crr_plus",-124,24,-0.208595097064972,0.709790587425232
"Control_Crr_plus",-120,24,-0.166304528713226,0.660685837268829
"Control_Crr_plus",-116,24,-0.120672196149826,0.601037919521332
"Control_Crr_plus",-112,24,-0.073661707341671,0.53996604681015
"Control_Crr_plus",-108,24,-0.0274333003908396,0.490771055221558
"Control_Crr_plus",-104,24,0.0158636979758739,0.468723267316818
"Control_Crr_plus",-100,24,0.0542973466217518,0.483322143554688
"Control_Crr_plus",-96,24,0.0862594842910767,0.530735015869141
"Control_Crr_plus",-92,24,0.110596269369125,0.597334861755371
"Control_Crr_plus",-88,24,0.126771509647369,0.668612897396088
"Control_Crr_plus",-84,24,0.134921103715897,0.733477234840393
"Control_Crr_plus",-80,24,0.135857254266739,0.784664988517761
"Control_Crr_plus",-76,24,0.131055876612663,0.818151295185089
"Control_Crr_plus",-72,24,0.122519679367542,0.832453668117523
"Control_Crr_plus",-68,24,0.112607829272747,0.828426837921143
"Control_Crr_plus",-64,24,0.103855781257153,0.808900952339172
"Control_Crr_plus",-60,24,0.0987605378031731,0.77829897403717
"Control_Crr_plus",-56,24,0.0995390042662621,0.742456793785095
"Control_Crr_plus",-52,24,0.107879936695099,0.707892656326294
"Control_Crr_plus",-48,24,0.124755382537842,0.680841505527496
"Control_Crr_plus",-44,24,0.150355145335197,0.666112542152405
"Control_Crr_plus",-40,24,0.18393349647522,0.665768265724182
"Control_Crr_plus",-36,24,0.223865583539009,0.678814291954041
"Control_Crr_plus",-32,24,0.26777395606041,0.702058613300323
"Control_Crr_plus",-28,24,0.312658876180649,0.731477558612823
"Control_Crr_plus",-24,24,0.355222702026367,0.763242542743683
"Control_Crr_plus",-20,24,0.392115920782089,0.794413685798645
"Control_Crr_plus",-16,24,0.420240253210068,0.822998285293579
"Control_Crr_plus",-12,24,0.437080770730972,0.847526729106903
"Control_Crr_plus",-8,24,0.44099435210228,0.866836369037628
"Control_Crr_plus",-4,24,0.431379079818726,0.879716455936432
"Control_Crr_plus",0,24,0.408784121274948,0.884815812110901
"Control_Crr_plus",4,24,0.374948114156723,0.880651772022247
"Control_Crr_plus",8,24,0.332691103219986,0.865903615951538
"Control_Crr_plus",12,24,0.285713404417038,0.839706540107727
"Control_Crr_plus",16,24,0.238231897354126,0.801978528499603
"Control_Crr_plus",20,24,0.194608330726624,0.753995537757874
"Control_Crr_plus",24,24,0.158938065171242,0.698795437812805
"Control_Crr_plus",28,24,0.13459724187851,0.641703426837921
"Control_Crr_plus",32,24,0.123841553926468,0.590473175048828
"Control_Crr_plus",36,24,0.127475053071976,0.554528951644897
"Control_Crr_plus",40,24,0.144626796245575,0.542243301868439
"Control_Crr_plus",44,24,0.172647640109062,0.556528270244598
"Control_Crr_plus",48,24,0.20720411837101,0.592852354049683
"Control_Crr_plus",52,24,0.242488384246826,0.641882002353668
"Control_Crr_plus",56,24,0.27157524228096,0.693857789039612
"Control_Crr_plus",60,24,0.286980956792831,0.741113483905792
"Control_Crr_plus",64,24,0.281225323677063,0.778885543346405
"Control_Crr_plus",68,24,0.247470438480377,0.805188298225403
"Control_Crr_plus",72,24,0.180210784077644,0.820438981056213
"Control_Crr_plus",76,24,0.0758084803819656,0.827166259288788
"Control_Crr_plus",80,24,-0.0670119300484657,0.82928478717804
"Control_Crr_plus",84,24,-0.246763423085213,0.831108331680298
"Control_Crr_plus",88,24,-0.459141999483109,0.836222171783447
"Control_Crr_plus",92,24,-0.697074115276337,0.846494793891907
"Control_Crr_plus",96,24,-0.950933218002319,0.861570000648499
